+----------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+---------------------------------------------------------------+--------+-----------------------------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+----------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+---------------------------------------------------------------+--------+-----------------------------------------------------------------------------+
| Mod name                         | Registry name                                                | BlockID | Subtypes | Item ID | Item meta | Display name                                                  | Exists | Ore Dict keys                                                               |
+----------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+---------------------------------------------------------------+--------+-----------------------------------------------------------------------------+
| Advanced Generators              | advgenerators:control                                        |    1020 |    false |    5343 |         0 | Redstone Control Module                                       | true   |                                                                             |
| Advanced Generators              | advgenerators:efficiency_upgrade_tier1                       |    1021 |    false |    5344 |         0 | Fuel/Air Mixer                                                | true   |                                                                             |
| Advanced Generators              | advgenerators:efficiency_upgrade_tier2                       |    1022 |    false |    5345 |         0 | Gas Mix Compressor                                            | true   |                                                                             |
| Advanced Generators              | advgenerators:eu_output_ev                                   |    1007 |    false |    5330 |         0 | Extreme Voltage Emitter                                       | true   |                                                                             |
| Advanced Generators              | advgenerators:eu_output_hv                                   |    1006 |    false |    5329 |         0 | High Voltage Emitter                                          | true   |                                                                             |
| Advanced Generators              | advgenerators:eu_output_iv                                   |    1008 |    false |    5331 |         0 | Insane Voltage Emitter                                        | true   |                                                                             |
| Advanced Generators              | advgenerators:eu_output_lv                                   |    1004 |    false |    5327 |         0 | Low Voltage Emitter                                           | true   |                                                                             |
| Advanced Generators              | advgenerators:eu_output_mv                                   |    1005 |    false |    5328 |         0 | Medium Voltage Emitter                                        | true   |                                                                             |
| Advanced Generators              | advgenerators:exchanger_controller                           |    1000 |    false |    5323 |         0 | Heat Exchanger Controller                                     | true   |                                                                             |
| Advanced Generators              | advgenerators:fluid_input                                    |    1011 |    false |    5334 |         0 | Fluid Intake Valve                                            | true   |                                                                             |
| Advanced Generators              | advgenerators:fluid_output_select                            |    1012 |    false |    5335 |         0 | Fluid Output Valve                                            | true   |                                                                             |
| Advanced Generators              | advgenerators:forge_output                                   |    1010 |    false |    5333 |         0 | Forge Energy Emitter                                          | true   |                                                                             |
| Advanced Generators              | advgenerators:fuel_tank                                      |    1015 |    false |    5338 |         0 | Fuel Tank                                                     | true   |                                                                             |
| Advanced Generators              | advgenerators:generators_data_port                           |    1023 |    false |    5346 |         0 | Machine Data Port                                             | true   |                                                                             |
| Advanced Generators              | advgenerators:heat_exchanger                                 |    1018 |    false |    5341 |         0 | Heat Exchanger                                                | true   |                                                                             |
| Advanced Generators              | advgenerators:heating_chamber                                |    1016 |    false |    5339 |         0 | Heating Chamber                                               | true   |                                                                             |
| Advanced Generators              | advgenerators:item_input                                     |    1013 |    false |    5336 |         0 | Item Input Port                                               | true   |                                                                             |
| Advanced Generators              | advgenerators:item_output                                    |    1014 |    false |    5337 |         0 | Item Output Port                                              | true   |                                                                             |
| Advanced Generators              | advgenerators:mixing_chamber                                 |    1017 |    false |    5340 |         0 | Mixing Chamber                                                | true   |                                                                             |
| Advanced Generators              | advgenerators:power_capacitor_advanced                       |    1033 |    false |    5370 |         0 | Advanced Power Capacitor                                      | true   |                                                                             |
| Advanced Generators              | advgenerators:power_capacitor_dense                          |    1034 |    false |    5372 |         0 | High Density Power Capacitor                                  | true   |                                                                             |
| Advanced Generators              | advgenerators:power_capacitor_redstone                       |    1032 |    false |    5368 |         0 | Basic Power Capacitor                                         | true   |                                                                             |
| Advanced Generators              | advgenerators:rf_output                                      |    1003 |    false |    5326 |         0 | Flux Generator                                                | true   |                                                                             |
| Advanced Generators              | advgenerators:sensor                                         |    1019 |    false |    5342 |         0 | Sensor Module                                                 | true   |                                                                             |
| Advanced Generators              | advgenerators:steam                                          |    1024 |    false |    5347 |         0 | Steam                                                         | true   |                                                                             |
| Advanced Generators              | advgenerators:steam_turbine_controller                       |    1001 |    false |    5324 |         0 | Steam Turbine Controller                                      | true   |                                                                             |
| Advanced Generators              | advgenerators:syngas                                         |    1026 |    false |    5349 |         0 | Syngas                                                        | true   |                                                                             |
| Advanced Generators              | advgenerators:syngas_controller                              |    1002 |    false |    5325 |         0 | Syngas Producer Controller                                    | true   |                                                                             |
| Advanced Generators              | advgenerators:tesla_output                                   |    1009 |    false |    5332 |         0 | Tesla Generator                                               | true   |                                                                             |
| Advanced Generators              | advgenerators:turbine_adv_alloy                              |    1031 |    false |    5367 |         0 | Advanced Alloy Turbine                                        | true   |                                                                             |
| Advanced Generators              | advgenerators:turbine_bronze                                 |    1029 |    false |    5360 |         0 | Bronze Turbine                                                | true   |                                                                             |
| Advanced Generators              | advgenerators:turbine_controller                             |     999 |    false |    5322 |         0 | Gas Turbine controller                                        | true   |                                                                             |
